Product_name,Rating,Discount%,Reviews Count,Discounted_Price(₹),Original_Price(₹)
Men's & Boy's Square Sunglasses,3.9,82,3162,365,1999
Unisex Ankle Length Standard Cotton Socks (Pack of 3) Assorted,3.9,50,1598,299,597
Men's Fl0330g Slippers,4.1,25,1224,299,399
"Boldfit Head Band for Man Sports Head Bandana for Men & Women Gym Hair Band for Men Workout, Running - Breathable, Non-Slip & Quick Drying Head Bands Set of 3 (Black, Grey Melange, Black Melange)",4,40,197,299,499
Leo RFID Blocking Vintage Brown Leather Wallet for Men,4.2,75,2264,499,2000
Analog Blue-Grey Dial Men's Watch,3.6,84,1976,249,1599
Black Leather Handmade Woven Bracelet for Men & Women (Set of 4) (Black),3.7,80,1067,200,999
Green Leather Men's Wallet (UBF130GRN1018),4.2,75,4002,499,2000
"Men's Flip Flop Slippers (SF0204G Grey Black, 8 SF0204GGYBK0008)",4.1,26,6027,294,399
Brown Leather Men's RFID Wallet (HF502_MH),4.2,69,8275,498,1599
Men's Regular Fit Track pants,3.7,61,14622,349,899
"Chaos Lies Beneath the Night, Episode 2: Omens",4,13,3,814,937
"Black, Silver and Gold Tone Finger Ring For Boys And Men | Exclusive and Trendy Titanium Ring For Boys And Men (Pack of 3)",4.7,85,29,229,1499
Multicolour Cotton Ankle Length Socks for Men - Pack of 3,4,50,1693,299,597
"Black Leather Wallet, Blue Keychain and Black Diamond Pen for Men I Gift Hamper",4.2,68,2422,630,1999
Analog Brown Designer Dial Men’s Watch,3.4,91,10501,199,2199
Earrings for Men & Boys | Fashion Hoop Earring for Men | Stainless Steel Huggie Hoop Earrings | Accessories Jewellery for Men | Birthday Gift for Men & Boys Anniversary Gift for Husband,4,80,2122,197,999
mens Boss-grip Uniform Dress Shoe,3.9,18,868,819,999
Men Cotton Cap (Pack of 1) (ILU132_Black_Free Size),3.8,58,2623,208,499
Men's Maxico Running Shoes,3.9,42,14378,753,1299
Combo Black Dial Kids Digital Watch for Boys and Mens Watch,3.3,77,172,228,999
Leather Men Wallet(brown),4.2,58,2367,925,2199
Bracelet for Men Leather Braided Multi-Layer Wrap Magnetic-Clasp Men's Bracelet,3.9,79,1326,267,1299
Men's Fleece Hooded Hoodie,4.1,56,5087,699,1599
Men's Formal Dress Slip On Shoes,3.9,14,4268,860,999
Men's Watch,3.7,85,1735,349,2399
Men Tan Artificial Leather Wallets for Men,4.1,76,3062,189,799
Men's Auto Lock PU Leather Belt,4.3,56,2058,664,1500
"Digital Boy's Watch (Black Dial, Multicolored Strap)",3.7,77,4984,249,1099
Winter Knit Beanie Woolen Cap Hat and Neck Warmer Scarf Set for Men & Women (2 Piece),4,50,56,349,699
Precious Moments BIS Hallmarked Ashta Laxmi Silver Coin 999 Pure with Gift Box,4.5,23,451,999,1299
Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,3.8,83,224,217,1299
Harley Vintage Brown RFID Blocking Men's Leather Wallet,4.2,76,1094,489,1999
"Caps for Men and Women, Sports Cap, Green, Baseball Cap, Hip Hop, Snapback Cap, Woolen Caps, Cricket Caps, Hats, Cotton Caps",3.9,61,630,369,940
Western Style 316L Stainless Steel Hoop Earrings for Men and Women,4.1,84,1144,224,1375
Mens Stonic Running Shoes,4,47,6634,799,1499
Gift Hamper for Men | Brown Wallet and Brown Belt Men's Combo Gift Set | Leather Wallets for Men | Men's Wallet,4,73,10000,899,3299
Special Quality Different Heart Shape Bengle with Rosegold Bracelet Pack of - 2 Gift for Special FASTIVAL Offer,4.1,85,434,298,1999
Men's Round Neck Sleeveless Cotton Vest (Pack of 3),4.2,21,3356,447,567
Men's Regular Fit T-Shirt (Pack of 3),3.7,80,34152,474,2397
"Men Thermal Top - Anti Bacterial, Low Neck, Full Sleeve",4.1,15,1965,600,709
Men's SF0204G Grey Black Slippers 10 (SF0204GGYBK0010),4.2,21,4085,294,374
Blue Evil Eye Leaf Charm Multi Layer Leather Bracelet for Men & Women (Multi-Colour),3.6,77,791,230,999
Grey Fabric Men's Wallet (1955),4,71,2487,289,999
Brand - A Branded Watch 4 Different Dial Black-Blue-Pink-White Stainless Steel Silver Band with Silver braclet and Watch for Women Watch for Girls,4.1,85,3384,299,1999
Unisex Cotton Non-Slip Low Cut Ankle Multi-Colored Running Socks With Anti Slip Silicon Grip Combo Pack Of 5(Free Size),3.9,30,2475,349,499
"mens Sf0515g Flip Flops, Blue, 8 UK (SFG-515)",4.1,15,3678,255,299.5
